Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
101,2,40,01:59:48,125.8925,1,0,110.00,110.01,108.01,32.2883,0.3655145,1.132034E-02,-3914889,
102,2,41,01:59:54,100,1,0,110.00,110.01,108.01,32.30952,0.2995133,9.270124E-03,-4925523,
103,2,42,02:00:00,79.43282,1,0,110.00,110.01,108.01,32.32571,0.246815,7.635254E-03,-6197934,
104,2,43,02:00:05,63.09574,1,0,110.00,110.01,108.01,32.33368,0.2044437,6.322934E-03,-7800954,
105,2,44,02:00:11,50.11872,1,0,110.00,110.01,108.01,32.34507,0.1690412,5.226182E-03,-9817484,
106,2,45,02:00:17,39.81071,1,0,110.00,110.01,108.01,32.35107,0.1409408,4.356604E-03,-1.23573E+07,
107,2,46,02:00:23,31.62278,1,0,110.00,110.01,108.01,32.35715,0.1181977,3.652906E-03,-1.555407E+07,
108,2,47,02:00:29,25.11886,1,0,110.00,110.01,108.01,32.3607,0.1021203,3.15569E-03,-1.957934E+07,
109,2,48,02:00:35,19.95262,1,0,110.00,110.01,108.01,32.36486,8.943428E-02,2.763314E-03,-2.464582E+07,
110,2,49,02:00:41,15.84893,1,0,110.00,110.01,108.01,32.36802,8.029174E-02,2.480589E-03,-3.102426E+07,
111,2,50,02:00:47,12.58925,1,0,110.00,110.01,108.01,32.37182,7.440714E-02,2.298516E-03,-3.905269E+07,
112,2,51,02:00:53,10,1,0,110.00,110.01,108.01,32.37292,7.153728E-02,2.209787E-03,-4.916276E+07,
113,2,52,02:00:59,7.943283,1,0,110.00,110.01,108.01,32.3784,0.0725685,2.241262E-03,-6.188175E+07,
114,2,53,02:01:06,6.309574,1,0,110.00,110.01,108.01,32.37839,7.629851E-02,2.356464E-03,-7.790449E+07,
115,2,54,02:01:12,5.011872,1,0,110.00,110.01,108.01,32.38243,0.083471,2.577663E-03,-9.806363E+07,
116,2,55,02:01:19,3.981072,1,0,110.00,110.01,108.01,32.38382,0.0928582,2.867426E-03,-1.234493E+08,
117,2,56,02:01:27,3.162277,1,0,110.00,110.01,108.01,32.38744,0.1062549,3.280743E-03,-1.553957E+08,
118,2,57,02:01:35,2.511887,1,0,110.00,110.01,108.01,32.38818,0.1289523,3.981461E-03,-1.95626E+08,
119,2,58,02:01:41,1.995262,1,0,110.00,110.01,108.01,32.38873,0.1504053,4.643753E-03,-2.462731E+08,
120,2,59,02:01:49,1.584893,1,0,110.00,110.01,108.01,32.39429,0.1870113,5.772972E-03,-3.099827E+08,
121,2,60,02:01:56,1.258925,1,0,110.00,110.01,108.01,32.39346,0.2275173,7.023556E-03,-3.902488E+08,
122,2,61,02:02:02,1,1,0,110.00,110.01,108.01,32.39445,0.2789924,8.612351E-03,-4.912667E+08,
123,3,1,02:52:37,1000000,1,0,105.00,105.95,103.00,22.12593,0.5527253,2.498088E-02,-718.8656,
124,3,2,02:52:43,794328.2,1,0,105.00,105.95,103.00,21.91654,0.5913762,0.0269831,-913.5495,
125,3,3,02:52:51,630957.3,1,0,105.00,105.95,103.00,21.81826,0.6465856,2.963507E-02,-1155.098,
126,3,4,02:52:57,501187.3,1,0,105.00,105.95,103.00,21.79869,0.7055437,3.236634E-02,-1455.242,
127,3,5,02:53:03,398107.2,1,0,105.00,105.95,103.00,21.83344,0.7598566,3.480243E-02,-1828.826,
128,3,6,02:53:09,316227.8,1,0,105.00,105.95,103.00,21.89285,0.8336538,3.807881E-02,-2295.56,
129,3,7,02:53:14,251188.6,1,0,105.00,105.95,103.00,21.97358,0.91367,0.0415804,-2878.521,
130,3,8,02:53:20,199526.2,1,0,105.00,105.95,103.00,22.07726,0.999691,4.528148E-02,-3605.667,
131,3,9,02:53:26,158489.3,1,0,105.00,105.95,103.00,22.20212,1.091359,4.915561E-02,-4512.089,
132,3,10,02:53:32,125892.5,1,0,105.00,105.95,103.00,22.34146,1.19173,5.334163E-02,-5642.544,
