PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 5.1795e-01	 1.2000e+02	 6.0003e+00	 1.2200e+02
 3.7276e-01	 1.2000e+02	 6.1773e+00	 1.6906e+02
 2.6827e-01	 1.2000e+02	 6.5234e+00	 2.3370e+02
 1.9307e-01	 1.2000e+02	 6.9881e+00	 3.2402e+02
 1.3895e-01	 1.2000e+02	 7.6575e+00	 4.4938e+02
 1.0000e-01	 1.2000e+02	 8.5917e+00	 6.2152e+02
 7.1969e-02	 1.2000e+02	 1.0022e+01	 8.6028e+02
 5.1795e-02	 1.2000e+02	 1.1913e+01	 1.1897e+03
 3.7276e-02	 1.2000e+02	 1.4553e+01	 1.6438e+03
 2.6827e-02	 1.2000e+02	 1.8350e+01	 2.2745e+03
 1.0000e+07	 1.1500e+02	 2.4560e+00	 6.1582e-02
 7.1969e+06	 1.1500e+02	 2.4766e+00	 1.5619e-01
 5.1795e+06	 1.1500e+02	 2.4896e+00	 1.8414e-01
 3.7276e+06	 1.1500e+02	 2.5228e+00	 2.0718e-01
 2.6827e+06	 1.1500e+02	 2.5587e+00	 2.4050e-01
 1.9307e+06	 1.1500e+02	 2.6071e+00	 2.7501e-01
 1.3895e+06	 1.1500e+02	 2.6678e+00	 3.0678e-01
 1.0000e+06	 1.1500e+02	 2.7321e+00	 3.4273e-01
 7.1969e+05	 1.1500e+02	 2.8110e+00	 3.8611e-01
 5.1795e+05	 1.1500e+02	 2.8992e+00	 4.1692e-01
 3.7276e+05	 1.1500e+02	 2.9977e+00	 4.4377e-01
 2.6827e+05	 1.1500e+02	 3.1051e+00	 4.6365e-01
 1.9307e+05	 1.1500e+02	 3.2194e+00	 4.7364e-01
 1.3895e+05	 1.1500e+02	 3.3368e+00	 4.7133e-01
 1.0000e+05	 1.1500e+02	 3.4530e+00	 4.5520e-01
 7.1969e+04	 1.1500e+02	 3.5622e+00	 4.2563e-01
 5.1795e+04	 1.1500e+02	 3.6599e+00	 3.8490e-01
 3.7276e+04	 1.1500e+02	 3.7431e+00	 3.3701e-01
 2.6827e+04	 1.1500e+02	 3.8095e+00	 2.8663e-01
 1.9307e+04	 1.1500e+02	 3.8606e+00	 2.3808e-01
 1.3895e+04	 1.1500e+02	 3.8983e+00	 1.9434e-01
 1.0000e+04	 1.1500e+02	 3.9257e+00	 1.5704e-01
 7.1969e+03	 1.1500e+02	 3.9453e+00	 1.2654e-01
 5.1795e+03	 1.1500e+02	 3.9592e+00	 1.0288e-01
 3.7276e+03	 1.1500e+02	 3.9693e+00	 8.5502e-02
 2.6827e+03	 1.1500e+02	 3.9760e+00	 7.3863e-02
 1.9307e+03	 1.1500e+02	 3.9809e+00	 6.8119e-02
 1.3895e+03	 1.1500e+02	 3.9841e+00	 6.7973e-02
