pmma-05212015, 21.5.2015, 16:46
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 3.7276e+02	 1.5000e+02	 3.3449e+00	 1.1608e+00
 2.6827e+02	 1.5000e+02	 3.3524e+00	 1.6021e+00
 1.9307e+02	 1.5000e+02	 3.3621e+00	 2.2152e+00
 1.3895e+02	 1.5000e+02	 3.3758e+00	 3.0640e+00
 1.0000e+02	 1.5000e+02	 3.3948e+00	 4.2422e+00
 7.1969e+01	 1.5000e+02	 3.4318e+00	 5.8841e+00
 5.1795e+01	 1.5000e+02	 3.4876e+00	 8.1463e+00
 3.7276e+01	 1.5000e+02	 3.5900e+00	 1.1287e+01
 2.6827e+01	 1.5000e+02	 3.7759e+00	 1.5646e+01
 1.9307e+01	 1.5000e+02	 4.1087e+00	 2.1668e+01
 1.3895e+01	 1.5000e+02	 4.6920e+00	 2.9927e+01
 1.0000e+01	 1.5000e+02	 5.7264e+00	 4.1283e+01
 7.1969e+00	 1.5000e+02	 7.6353e+00	 5.6835e+01
 5.1795e+00	 1.5000e+02	 1.0786e+01	 7.7981e+01
 3.7276e+00	 1.5000e+02	 1.6314e+01	 1.0656e+02
 2.6827e+00	 1.5000e+02	 2.5019e+01	 1.4328e+02
 1.9307e+00	 1.5000e+02	 4.0639e+01	 1.9222e+02
 1.3895e+00	 1.5000e+02	 6.3337e+01	 2.5673e+02
 1.0000e+00	 1.5000e+02	 9.7850e+01	 3.3530e+02
 7.1969e-01	 1.5000e+02	 1.4519e+02	 4.3057e+02
 5.1795e-01	 1.5000e+02	 2.0718e+02	 5.4577e+02
 3.7276e-01	 1.5000e+02	 2.8316e+02	 6.8406e+02
 2.6827e-01	 1.5000e+02	 3.7112e+02	 8.5327e+02
 1.9307e-01	 1.5000e+02	 4.6848e+02	 1.0674e+03
 1.3895e-01	 1.5000e+02	 5.7274e+02	 1.3441e+03
 1.0000e-01	 1.5000e+02	 6.8248e+02	 1.7097e+03
 7.1969e-02	 1.5000e+02	 7.9765e+02	 2.2031e+03
 5.1795e-02	 1.5000e+02	 9.1858e+02	 2.8671e+03
 3.7276e-02	 1.5000e+02	 1.0477e+03	 3.7711e+03
 2.6827e-02	 1.5000e+02	 1.1906e+03	 5.0115e+03
 1.0000e+07	 1.4500e+02	 2.1744e+00	 1.2548e-01
 7.1969e+06	 1.4500e+02	 2.2117e+00	 2.1454e-01
 5.1795e+06	 1.4500e+02	 2.2433e+00	 2.4399e-01
 3.7276e+06	 1.4500e+02	 2.2963e+00	 2.6772e-01
 2.6827e+06	 1.4500e+02	 2.3514e+00	 2.9781e-01
 1.9307e+06	 1.4500e+02	 2.4192e+00	 3.2450e-01
 1.3895e+06	 1.4500e+02	 2.4984e+00	 3.4344e-01
 1.0000e+06	 1.4500e+02	 2.5784e+00	 3.5892e-01
 7.1969e+05	 1.4500e+02	 2.6657e+00	 3.7347e-01
 5.1795e+05	 1.4500e+02	 2.7551e+00	 3.7002e-01
 3.7276e+05	 1.4500e+02	 2.8428e+00	 3.5785e-01
 2.6827e+05	 1.4500e+02	 2.9255e+00	 3.3772e-01
 1.9307e+05	 1.4500e+02	 3.0008e+00	 3.1128e-01
 1.3895e+05	 1.4500e+02	 3.0670e+00	 2.8103e-01
 1.0000e+05	 1.4500e+02	 3.1234e+00	 2.4937e-01
 7.1969e+04	 1.4500e+02	 3.1707e+00	 2.1815e-01
 5.1795e+04	 1.4500e+02	 3.2094e+00	 1.8920e-01
 3.7276e+04	 1.4500e+02	 3.2409e+00	 1.6357e-01
 2.6827e+04	 1.4500e+02	 3.2664e+00	 1.4193e-01
 1.9307e+04	 1.4500e+02	 3.2870e+00	 1.2473e-01
 1.3895e+04	 1.4500e+02	 3.3036e+00	 1.1231e-01
 1.0000e+04	 1.4500e+02	 3.3171e+00	 1.0497e-01
 7.1969e+03	 1.4500e+02	 3.3283e+00	 1.0312e-01
 5.1795e+03	 1.4500e+02	 3.3378e+00	 1.0772e-01
 3.7276e+03	 1.4500e+02	 3.3457e+00	 1.1988e-01
 2.6827e+03	 1.4500e+02	 3.3529e+00	 1.4148e-01
 1.9307e+03	 1.4500e+02	 3.3593e+00	 1.7529e-01
 1.3895e+03	 1.4500e+02	 3.3654e+00	 2.2512e-01
 1.0000e+03	 1.4500e+02	 3.3712e+00	 2.9649e-01
 7.1969e+02	 1.4500e+02	 3.3770e+00	 3.9730e-01
 5.1795e+02	 1.4500e+02	 3.3827e+00	 5.3860e-01
 3.7276e+02	 1.4500e+02	 3.3885e+00	 7.3581e-01
 2.6827e+02	 1.4500e+02	 3.3947e+00	 1.0107e+00
 1.9307e+02	 1.4500e+02	 3.4017e+00	 1.3923e+00
 1.3895e+02	 1.4500e+02	 3.4104e+00	 1.9231e+00
 1.0000e+02	 1.4500e+02	 3.4225e+00	 2.6590e+00
 7.1969e+01	 1.4500e+02	 3.4379e+00	 3.6806e+00
 5.1795e+01	 1.4500e+02	 3.4662e+00	 5.0984e+00
 3.7276e+01	 1.4500e+02	 3.5141e+00	 7.0678e+00
 2.6827e+01	 1.4500e+02	 3.5987e+00	 9.8073e+00
 1.9307e+01	 1.4500e+02	 3.7479e+00	 1.3580e+01
 1.3895e+01	 1.4500e+02	 4.0067e+00	 1.8790e+01
 1.0000e+01	 1.4500e+02	 4.4780e+00	 2.5947e+01
 7.1969e+00	 1.4500e+02	 5.2949e+00	 3.5933e+01
 5.1795e+00	 1.4500e+02	 6.8154e+00	 4.9472e+01
 3.7276e+00	 1.4500e+02	 9.5148e+00	 6.8001e+01
 2.6827e+00	 1.4500e+02	 1.4041e+01	 9.2578e+01
 1.9307e+00	 1.4500e+02	 2.1327e+01	 1.2598e+02
 1.3895e+00	 1.4500e+02	 3.3312e+01	 1.6987e+02
 1.0000e+00	 1.4500e+02	 5.2522e+01	 2.2502e+02
 7.1969e-01	 1.4500e+02	 8.3564e+01	 2.9683e+02
 5.1795e-01	 1.4500e+02	 1.2577e+02	 3.8306e+02
 3.7276e-01	 1.4500e+02	 1.8298e+02	 4.8640e+02
 2.6827e-01	 1.4500e+02	 2.5400e+02	 6.0953e+02
 1.9307e-01	 1.4500e+02	 3.3791e+02	 7.5807e+02
 1.3895e-01	 1.4500e+02	 4.3270e+02	 9.4148e+02
 1.0000e-01	 1.4500e+02	 5.3539e+02	 1.1743e+03
 7.1969e-02	 1.4500e+02	 6.4473e+02	 1.4783e+03
 5.1795e-02	 1.4500e+02	 7.5977e+02	 1.8851e+03
 3.7276e-02	 1.4500e+02	 8.8069e+02	 2.4330e+03
 2.6827e-02	 1.4500e+02	 1.0080e+03	 3.1776e+03
 1.0000e+07	 1.4000e+02	 2.1371e+00	 1.0029e-01
 7.1969e+06	 1.4000e+02	 2.1668e+00	 1.8523e-01
 5.1795e+06	 1.4000e+02	 2.1919e+00	 2.1305e-01
 3.7276e+06	 1.4000e+02	 2.2369e+00	 2.3580e-01
 2.6827e+06	 1.4000e+02	 2.2835e+00	 2.6607e-01
 1.9307e+06	 1.4000e+02	 2.3421e+00	 2.9446e-01
 1.3895e+06	 1.4000e+02	 2.4123e+00	 3.1714e-01
 1.0000e+06	 1.4000e+02	 2.4842e+00	 3.3898e-01
 7.1969e+05	 1.4000e+02	 2.5656e+00	 3.6179e-01
 5.1795e+05	 1.4000e+02	 2.6515e+00	 3.6893e-01
 3.7276e+05	 1.4000e+02	 2.7397e+00	 3.6852e-01
 2.6827e+05	 1.4000e+02	 2.8270e+00	 3.5987e-01
 1.9307e+05	 1.4000e+02	 2.9105e+00	 3.4351e-01
