total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=13)
[[1.941039],[2.083893],[2.226752],[2.369609],[2.512468],[2.655326],[2.798180],[2.941039],[3.083893],[3.226752],[3.369609],[3.512468],[3.655326]]

yData (#.=13)
[-0.853321,-0.853927,-0.860231,-0.870441,-0.882809,-0.898278,-0.916131,-0.934943,-0.957418,-0.980903,-1.009853,-1.036981,-1.063294]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 53
-0.224677 -1.02286 -1.25971 -0.0707654 -5.3555
-0.216105 -1.01429 -1.26052 -0.1177 -5.59596
-0.207534 -1.00571 -1.26174 -0.166696 -5.83642
-0.198962 -0.997142 -1.26338 -0.217087 -5.61044
-0.190391 -0.988571 -1.26543 -0.260211 -4.45182
-0.18182 -0.979999 -1.26781 -0.293404 -3.2932
-0.173248 -0.971428 -1.27044 -0.316666 -2.13457
-0.164677 -0.962857 -1.27321 -0.329996 -0.975952
-0.156105 -0.954285 -1.27606 -0.333396 0.182671
-0.147534 -0.945714 -1.2789 -0.326865 1.34129
-0.138962 -0.937142 -1.28164 -0.310403 2.49992
-0.130391 -0.928571 -1.28419 -0.284009 3.65854
-0.12182 -0.919999 -1.28648 -0.247685 4.81716
-0.113248 -0.911428 -1.28841 -0.201429 5.97579
-0.104677 -0.902857 -1.2899 -0.145243 7.13441
-0.0961052 -0.894285 -1.29087 -0.0791251 8.29303
-0.0875338 -0.885714 -1.29123 -0.00307643 9.45165
-0.0789624 -0.877142 -1.2909 0.0829033 10.6103
-0.0703909 -0.868571 -1.28978 0.178814 11.7689
-0.0618195 -0.859999 -1.2878 0.284656 12.9275
-0.0532481 -0.851428 -1.28488 0.395881 12.4941
-0.0446767 -0.842857 -1.28105 0.497702 11.2641
-0.0361052 -0.834285 -1.27638 0.58898 10.0341
-0.0275338 -0.825714 -1.27098 0.669715 8.80411
-0.0189624 -0.817142 -1.26493 0.739908 7.57411
-0.0103909 -0.808571 -1.25833 0.799557 6.3441
-0.00181951 -0.799999 -1.25125 0.848664 5.1141
0.00675192 -0.791428 -1.24381 0.887227 3.8841
0.0153233 -0.782857 -1.23608 0.915248 2.6541
0.0238948 -0.774285 -1.22815 0.932726 1.4241
0.0324662 -0.765714 -1.22012 0.939661 0.194099
0.0410376 -0.757142 -1.21207 0.936054 -1.0359
0.0496091 -0.748571 -1.2041 0.921903 -2.2659
0.0581805 -0.739999 -1.1963 0.89721 -3.4959
0.0667519 -0.731428 -1.18875 0.861973 -4.72591
0.0753233 -0.722857 -1.18155 0.816194 -5.95591
0.0838948 -0.714285 -1.17479 0.759872 -7.18557
0.0924662 -0.705714 -1.16853 0.699942 -6.79819
0.101038 -0.697142 -1.16278 0.643332 -6.4108
0.109609 -0.688571 -1.15749 0.590042 -6.02342
0.11818 -0.679999 -1.15265 0.540073 -5.63603
0.126752 -0.671428 -1.14823 0.493425 -5.24864
0.135323 -0.662857 -1.14419 0.450096 -4.86126
0.143895 -0.654285 -1.1405 0.410089 -4.47387
0.152466 -0.645714 -1.13715 0.373401 -4.08648
0.161038 -0.637142 -1.13409 0.340035 -3.6991
0.169609 -0.628571 -1.13131 0.309988 -3.31171
0.17818 -0.619999 -1.12877 0.283263 -2.92433
0.186752 -0.611428 -1.12644 0.259857 -2.53694
0.195323 -0.602857 -1.1243 0.239772 -2.14955
0.203895 -0.594285 -1.12232 0.223008 -1.76217
0.212466 -0.585714 -1.12047 0.209564 -1.37478
0.221038 -0.577142 -1.11872 0.19944 -0.987394
0.229609 -0.568571 -1.11704 0.192488 -0.704477
0.23818 -0.559999 -1.11542 0.186766 -0.630506
0.246752 -0.551428 -1.11384 0.181679 -0.556534
0.255323 -0.542857 -1.1123 0.177226 -0.482563
0.263895 -0.534285 -1.1108 0.173406 -0.408592
0.272466 -0.525714 -1.10933 0.170221 -0.334621
0.281038 -0.517142 -1.10788 0.16767 -0.26065
0.289609 -0.508571 -1.10645 0.165753 -0.186679
0.29818 -0.499999 -1.10504 0.16447 -0.112708
0.306752 -0.491428 -1.10363 0.163821 -0.0387373
0.315323 -0.482857 -1.10223 0.163806 0.0352337
0.323895 -0.474285 -1.10082 0.164425 0.109205
0.332466 -0.465714 -1.0994 0.165678 0.183176
0.341038 -0.457142 -1.09798 0.167565 0.257147
0.349609 -0.448571 -1.09653 0.170086 0.331118
0.35818 -0.439999 -1.09506 0.173241 0.405089
0.366752 -0.431428 -1.09356 0.17703 0.47906
0.375323 -0.422857 -1.09202 0.181296 0.497742
0.383895 -0.414285 -1.09045 0.185524 0.48878
0.392466 -0.405714 -1.08884 0.189675 0.479819
0.401038 -0.397142 -1.0872 0.193749 0.470857
0.409609 -0.388571 -1.08552 0.197747 0.461895
0.41818 -0.379999 -1.08381 0.201667 0.452934
0.426752 -0.371428 -1.08206 0.205511 0.443972
0.435323 -0.362857 -1.08029 0.209278 0.43501
0.443895 -0.354285 -1.07848 0.212969 0.426048
0.452466 -0.345714 -1.07664 0.216582 0.417087
0.461038 -0.337142 -1.07476 0.220119 0.408125
0.469609 -0.328571 -1.07286 0.223578 0.399163
0.47818 -0.319999 -1.07093 0.226961 0.390202
0.486752 -0.311428 -1.06897 0.230268 0.38124
0.495323 -0.302857 -1.06699 0.233497 0.372278
0.503895 -0.294285 -1.06497 0.236649 0.363317
0.512466 -0.285714 -1.06293 0.239725 0.354355
0.521038 -0.277142 -1.06086 0.24287 0.379543
0.529609 -0.268571 -1.05876 0.246232 0.404739
0.53818 -0.259999 -1.05664 0.249809 0.429935
0.546752 -0.251428 -1.05448 0.253602 0.455131
0.555323 -0.242857 -1.05229 0.257611 0.480326
0.563895 -0.234285 -1.05006 0.261836 0.505522
0.572466 -0.225714 -1.0478 0.266277 0.530718
0.581038 -0.217142 -1.0455 0.270934 0.555914
0.589609 -0.208571 -1.04316 0.275807 0.581109
0.59818 -0.199999 -1.04077 0.280896 0.606305
0.606752 -0.191428 -1.03834 0.286201 0.631501
0.615323 -0.182857 -1.03586 0.291722 0.656697
0.623895 -0.174285 -1.03334 0.297459 0.681892
0.632466 -0.165714 -1.03076 0.303411 0.707088
0.641038 -0.157142 -1.02814 0.30958 0.732284
0.649609 -0.148571 -1.02546 0.315965 0.75748
0.65818 -0.139999 -1.02272 0.322474 0.718862
0.666752 -0.131428 -1.01993 0.327923 0.552438
0.675323 -0.122857 -1.0171 0.331945 0.386014
0.683895 -0.114285 -1.01424 0.33454 0.21959
0.692466 -0.105714 -1.01137 0.335709 0.0531666
0.701038 -0.0971423 -1.00849 0.335452 -0.113257
0.709609 -0.0885709 -1.00562 0.333768 -0.279681
0.71818 -0.0799994 -1.00278 0.330657 -0.446105
0.726752 -0.071428 -0.99996 0.32612 -0.612529
0.735323 -0.0628566 -0.99719 0.320157 -0.778953
0.743895 -0.0542852 -0.994476 0.312767 -0.945377
0.752466 -0.0457137 -0.991832 0.30395 -1.1118
0.761038 -0.0371423 -0.989269 0.293707 -1.27822
0.769609 -0.0285709 -0.986801 0.282038 -1.44465
0.77818 -0.0199994 -0.984439 0.268942 -1.61107
0.786752 -0.011428 -0.982195 0.254419 -1.7775
0.795323 -0.00285659 -0.980081 0.23847 -1.94392
0.803895 0.00571484 -0.978109 0.221744 -1.88334
0.812466 0.0142863 -0.976276 0.206347 -1.70929
0.821038 0.0228577 -0.974568 0.192442 -1.53523
