Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
1.72961 0.931429 1.79533 -1.26083 -1.6077
1.73818 0.94 1.78446 -1.27526 -1.75847
1.74675 0.948572 1.77346 -1.29098 -1.90923
1.75532 0.957143 1.76232 -1.30799 -2.06
1.76389 0.965715 1.75104 -1.32629 -2.21076
1.77247 0.974286 1.73958 -1.34589 -2.36152
1.78104 0.982858 1.72796 -1.36678 -2.51229
1.78961 0.991429 1.71615 -1.38896 -2.66305
1.79818 1 1.70415 -1.41243 -2.81379
1.80675 1.00857 1.69194 -1.43551 -2.57085
1.81532 1.01714 1.67954 -1.4565 -2.3279
1.82389 1.02571 1.66698 -1.47541 -2.08495
1.83247 1.03429 1.65426 -1.49224 -1.84201
1.84104 1.04286 1.6414 -1.50699 -1.59906
1.84961 1.05143 1.62843 -1.51965 -1.35611
1.85818 1.06 1.61536 -1.53024 -1.11317
1.86675 1.06857 1.6022 -1.53874 -0.87022
1.87532 1.07714 1.58898 -1.54516 -0.627273
1.88389 1.08571 1.57572 -1.54949 -0.384326
1.89247 1.09429 1.56243 -1.55174 -0.141379
1.90104 1.10286 1.54912 -1.55191 0.101568
1.90961 1.11143 1.53583 -1.55 0.344515
1.91818 1.12 1.52256 -1.54601 0.587462
1.92675 1.12857 1.50933 -1.53993 0.830409
1.93532 1.13714 1.49616 -1.53177 1.07336
1.94389 1.14571 1.48308 -1.52172 1.18666
1.95247 1.15429 1.47008 -1.51217 1.04049
1.96104 1.16286 1.45715 -1.50388 0.894319
1.96961 1.17143 1.44429 -1.49684 0.748148
1.97818 1.18 1.43149 -1.49105 0.601976
1.98675 1.18857 1.41873 -1.48652 0.455805
1.99532 1.19714 1.406 -1.48324 0.309634
2.00389 1.20571 1.3933 -1.48121 0.163462
2.01247 1.21429 1.3806 -1.48044 0.0172908
2.02104 1.22286 1.36791 -1.48092 -0.128881
2.02961 1.23143 1.35521 -1.48265 -0.275052
2.03818 1.24 1.34249 -1.48563 -0.421223
2.04675 1.24857 1.32974 -1.48987 -0.567395
2.05532 1.25714 1.31695 -1.49536 -0.713566
2.06389 1.26571 1.3041 -1.5021 -0.859737
2.07247 1.27429 1.2912 -1.5101 -1.00591
2.08104 1.28286 1.27821 -1.51935 -1.15208
2.08961 1.29143 1.26515 -1.52949 -1.17478
2.09818 1.3 1.25199 -1.5394 -1.13579
2.10675 1.30857 1.23876 -1.54896 -1.0968
2.11532 1.31714 1.22544 -1.5582 -1.05782
2.12389 1.32571 1.21205 -1.5671 -1.01883
2.13247 1.33429 1.19858 -1.57566 -0.979845
2.14104 1.34286 1.18504 -1.5839 -0.940859
2.14961 1.35143 1.17143 -1.59179 -0.901872
2.15818 1.36 1.15775 -1.59936 -0.862886
2.16675 1.36857 1.14401 -1.60659 -0.8239
2.17532 1.37714 1.13021 -1.61348 -0.784913
2.18389 1.38571 1.11635 -1.62004 -0.745927
2.19247 1.39429 1.10244 -1.62627 -0.706941
2.20104 1.40286 1.08847 -1.63216 -0.667954
2.20961 1.41143 1.07446 -1.63772 -0.628968
2.21818 1.42 1.0604 -1.64294 -0.589982
2.22675 1.42857 1.0463 -1.64783 -0.550996
2.23532 1.43714 1.03215 -1.65233 -0.497849
2.24389 1.44571 1.01797 -1.65637 -0.444703
2.25247 1.45429 1.00376 -1.65995 -0.391557
2.26104 1.46286 0.989516 -1.66308 -0.33841
2.26961 1.47143 0.975249 -1.66575 -0.285264
2.27818 1.48 0.960962 -1.66797 -0.232117
2.28675 1.48857 0.946657 -1.66973 -0.178971
2.29532 1.49714 0.932339 -1.67104 -0.125825
2.30389 1.50571 0.918012 -1.67189 -0.0726782
2.31247 1.51429 0.903679 -1.67228 -0.0195318
2.32104 1.52286 0.889345 -1.67222 0.0336146
2.32961 1.53143 0.875014 -1.67171 0.086761
2.33818 1.54 0.860689 -1.67074 0.139907
2.34675 1.54857 0.846374 -1.66931 0.193054
2.35532 1.55714 0.832073 -1.66743 0.2462
2.36389 1.56571 0.817791 -1.66509 0.299347
2.37247 1.57429 0.80353 -1.66237 0.300463
2.38104 1.58286 0.789291 -1.66024 0.197518
2.38961 1.59143 0.775066 -1.65898 0.0945724
2.39818 1.6 0.760849 -1.65861 -0.00837286
2.40675 1.60857 0.746631 -1.65913 -0.111318
2.41532 1.61714 0.732404 -1.66052 -0.214263
2.42389 1.62571 0.718162 -1.6628 -0.317209
2.43247 1.63429 0.703896 -1.66596 -0.420154
2.44104 1.64286 0.6896 -1.67 -0.523099
2.44961 1.65143 0.675265 -1.67493 -0.626044
2.45818 1.66 0.660885 -1.68073 -0.72899
2.46675 1.66857 0.64645 -1.68742 -0.831935
2.47532 1.67714 0.631955 -1.695 -0.93488
2.48389 1.68571 0.617391 -1.70345 -1.03783
2.49247 1.69429 0.60275 -1.71279 -1.14077
2.50104 1.70286 0.588026 -1.72301 -1.24372
2.50961 1.71143 0.57321 -1.73411 -1.34666
2.51818 1.72 0.558297 -1.74572 -1.31964
2.52675 1.72857 0.543286 -1.75664 -1.22757
2.53532 1.73714 0.528185 -1.76677 -1.13551
2.54389 1.74571 0.513001 -1.7761 -1.04344
2.55247 1.75429 0.49774 -1.78465 -0.951372
2.56104 1.76286 0.482409 -1.79241 -0.859305
2.56961 1.77143 0.467015 -1.79938 -0.767238
2.57818 1.78 0.451565 -1.80557 -0.675171
2.58675 1.78857 0.436065 -1.81096 -0.583103
2.59532 1.79714 0.420522 -1.81556 -0.491036
2.60389 1.80571 0.404943 -1.81938 -0.398969
2.61247 1.81429 0.389335 -1.8224 -0.306902
2.62104 1.82286 0.373704 -1.82464 -0.214834
2.62961 1.83143 0.358058 -1.82608 -0.122767
2.63818 1.84 0.342402 -1.82674 -0.0306999
2.64675 1.84857 0.326744 -1.82661 0.0613674
2.65532 1.85714 0.311091 -1.82569 0.153435
2.66389 1.86571 0.295449 -1.82407 0.225349
2.67247 1.87429 0.279823 -1.82183 0.297257
2.68104 1.88286 0.264219 -1.81897 0.369165
2.68961 1.89143 0.248642 -1.8155 0.441073
2.69818 1.9 0.233098 -1.81141 0.512981
