total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=15)
[[0.226752],[0.369609],[0.512468],[0.655326],[0.798180],[0.941039],[1.083893],[1.226752],[1.369609],[1.512468],[1.655326],[1.798180],[1.941039],[2.083893],[2.226752]]

yData (#.=15)
[-0.040298,0.010726,0.062910,0.089677,0.073987,0.023691,-0.063809,-0.169722,-0.349168,-0.533894,-0.733529,-0.962342,-1.204677,-1.435824,-1.637739]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 30
0.109609 -0.688571 -0.108016 0.578901 1.61393
0.11818 -0.679999 -0.102999 0.591203 1.25657
0.126752 -0.671428 -0.0978896 0.600442 0.89921
0.135323 -0.662857 -0.0927143 0.606618 0.541851
0.143895 -0.654285 -0.0874992 0.609731 0.184492
0.152466 -0.645714 -0.0822706 0.609781 -0.172866
0.161038 -0.637142 -0.0770546 0.606767 -0.530225
0.169609 -0.628571 -0.0718776 0.600691 -0.887584
0.17818 -0.619999 -0.0667658 0.591552 -1.24494
0.186752 -0.611428 -0.0617455 0.579349 -1.6023
0.195323 -0.602857 -0.0568428 0.564084 -1.95966
0.203895 -0.594285 -0.0520842 0.545755 -2.31702
0.212466 -0.585714 -0.0474958 0.524363 -2.67438
0.221038 -0.577142 -0.0431039 0.499908 -3.03174
0.229609 -0.568571 -0.0389344 0.472691 -3.17856
0.23818 -0.559999 -0.0349962 0.446622 -2.9043
0.246752 -0.551428 -0.0312713 0.422903 -2.63003
0.255323 -0.542857 -0.0277397 0.401536 -2.35577
0.263895 -0.534285 -0.0243811 0.382519 -2.0815
0.272466 -0.525714 -0.0211755 0.365853 -1.80724
0.281038 -0.517142 -0.0181026 0.351538 -1.53298
0.289609 -0.508571 -0.0151424 0.339573 -1.25871
0.29818 -0.499999 -0.0122747 0.32996 -0.984448
0.306752 -0.491428 -0.00947925 0.322697 -0.710184
0.315323 -0.482857 -0.006736 0.317785 -0.43592
0.323895 -0.474285 -0.00402478 0.315224 -0.161656
0.332466 -0.465714 -0.00132544 0.315014 0.112608
0.341038 -0.457142 0.00138217 0.317154 0.386872
0.349609 -0.448571 0.00411821 0.321646 0.661135
0.35818 -0.439999 0.00690282 0.328488 0.935399
0.366752 -0.431428 0.00975615 0.337681 1.20966
0.375323 -0.422857 0.0126967 0.348372 1.1853
0.383895 -0.414285 0.0157242 0.357787 1.01162
0.392466 -0.405714 0.018826 0.365714 0.837948
0.401038 -0.397142 0.0219893 0.372152 0.664273
0.409609 -0.388571 0.0252015 0.377102 0.490598
0.41818 -0.379999 0.0284497 0.380563 0.316922
0.426752 -0.371428 0.0317212 0.382535 0.143247
0.435323 -0.362857 0.0350032 0.383018 -0.0304284
0.443895 -0.354285 0.0382829 0.382013 -0.204104
0.452466 -0.345714 0.0415477 0.379519 -0.377779
0.461038 -0.337142 0.0447847 0.375537 -0.551454
0.469609 -0.328571 0.0479812 0.370066 -0.72513
0.47818 -0.319999 0.0511244 0.363106 -0.898805
0.486752 -0.311428 0.0542016 0.354658 -1.07248
0.495323 -0.302857 0.0572 0.344721 -1.24616
0.503895 -0.294285 0.0601069 0.333295 -1.41983
0.512466 -0.285714 0.0629094 0.320381 -1.59351
0.521038 -0.277142 0.0655964 0.306515 -1.64188
0.529609 -0.268571 0.0681628 0.292234 -1.69022
0.53818 -0.259999 0.070605 0.277539 -1.73857
0.546752 -0.251428 0.0729194 0.26243 -1.78691
0.555323 -0.242857 0.0751026 0.246907 -1.83526
0.563895 -0.234285 0.0771509 0.230969 -1.8836
0.572466 -0.225714 0.0790609 0.214616 -1.93195
0.581038 -0.217142 0.0808289 0.19785 -1.98029
0.589609 -0.208571 0.0824514 0.180668 -2.02864
0.59818 -0.199999 0.0839248 0.163073 -2.07698
0.606752 -0.191428 0.0852457 0.145063 -2.12533
0.615323 -0.182857 0.0864105 0.126639 -2.17367
0.623895 -0.174285 0.0874155 0.1078 -2.22202
0.632466 -0.165714 0.0882573 0.088547 -2.27036
0.641038 -0.157142 0.0889323 0.0688795 -2.31871
0.649609 -0.148571 0.0894369 0.0487977 -2.36705
0.65818 -0.139999 0.0897677 0.028356 -2.37717
0.666752 -0.131428 0.0899242 0.00826509 -2.31072
0.675323 -0.122857 0.089911 -0.0112562 -2.24426
0.683895 -0.114285 0.0897329 -0.030208 -2.17781
0.692466 -0.105714 0.0893947 -0.0485901 -2.11136
0.701038 -0.0971423 0.0889015 -0.0664026 -2.0449
0.709609 -0.0885709 0.088258 -0.0836456 -1.97845
0.71818 -0.0799994 0.0874692 -0.100319 -1.912
0.726752 -0.071428 0.0865399 -0.116423 -1.84554
0.735323 -0.0628566 0.085475 -0.131957 -1.77909
0.743895 -0.0542852 0.0842794 -0.146921 -1.71264
0.752466 -0.0457137 0.082958 -0.161316 -1.64618
0.761038 -0.0371423 0.0815156 -0.175142 -1.57973
0.769609 -0.0285709 0.0799572 -0.188397 -1.51328
0.77818 -0.0199994 0.0782876 -0.201084 -1.44682
0.786752 -0.011428 0.0765117 -0.2132 -1.38037
0.795323 -0.00285659 0.0746344 -0.224747 -1.31392
0.803895 0.00571484 0.07266 -0.236001 -1.3444
0.812466 0.0142863 0.0705868 -0.247863 -1.42335
0.821038 0.0228577 0.068409 -0.260402 -1.50229
0.829609 0.0314291 0.0661208 -0.273617 -1.58124
0.83818 0.0400006 0.0637165 -0.287509 -1.66018
0.846752 0.048572 0.0611901 -0.302077 -1.73913
0.855323 0.0571434 0.0585361 -0.317322 -1.81807
0.863895 0.0657148 0.0557484 -0.333244 -1.89702
0.872466 0.0742863 0.0528214 -0.349842 -1.97596
0.881038 0.0828577 0.0497492 -0.367118 -2.05491
0.889609 0.0914291 0.046526 -0.385069 -2.13385
0.89818 0.100001 0.043146 -0.403698 -2.2128
0.906752 0.108572 0.0396035 -0.423003 -2.29174
0.915323 0.117143 0.0358926 -0.442985 -2.37069
0.923895 0.125715 0.0320076 -0.463643 -2.44963
0.932466 0.134286 0.0279425 -0.484979 -2.52858
0.941038 0.142858 0.0236917 -0.50699 -2.60752
0.949609 0.151429 0.0192528 -0.528469 -2.40412
0.95818 0.160001 0.0146372 -0.548204 -2.20068
0.966752 0.168572 0.00985998 -0.566195 -1.99723
0.975323 0.177143 0.00493601 -0.582442 -1.79378
0.983895 0.185715 -0.000119758 -0.596946 -1.59034
