Raw Data                               
log.afreq  log.sfreq  log.loss  storage
=======================================
-0.773248 -1.57143 -0.643019 2.72
1.64389 0.845715 -0.83068 -0.0482101 -0.0919691
1.65247 0.854286 -0.831097 -0.0489883 -0.0895937
1.66104 0.862858 -0.83152 -0.0497493 -0.0883697
1.66961 0.871429 -0.831949 -0.050504 -0.0877221
1.67818 0.88 -0.832385 -0.0512531 -0.0870746
1.68675 0.888572 -0.832828 -0.0519967 -0.0864271
1.69532 0.897143 -0.833277 -0.0527347 -0.0857796
1.70389 0.905715 -0.833732 -0.0534672 -0.085132
1.71247 0.914286 -0.834193 -0.0541941 -0.0844845
1.72104 0.922858 -0.834661 -0.0549155 -0.083837
1.72961 0.931429 -0.835135 -0.0556314 -0.0831894
1.73818 0.94 -0.835615 -0.0563416 -0.0825419
1.74675 0.948572 -0.836101 -0.0570464 -0.0818944
1.75532 0.957143 -0.836593 -0.0577455 -0.0812468
1.76389 0.965715 -0.837091 -0.0584392 -0.0805993
1.77247 0.974286 -0.837594 -0.0591272 -0.0799518
1.78104 0.982858 -0.838104 -0.0598098 -0.0793042
1.78961 0.991429 -0.83862 -0.0604867 -0.0786567
1.79818 1 -0.839141 -0.0611582 -0.0780094
1.80675 1.00857 -0.839668 -0.061842 -0.0815545
1.81532 1.01714 -0.840201 -0.0625562 -0.0850996
1.82389 1.02571 -0.840741 -0.0633009 -0.0886447
1.83247 1.03429 -0.841287 -0.0640759 -0.0921898
1.84104 1.04286 -0.841839 -0.0648813 -0.095735
1.84961 1.05143 -0.842399 -0.065717 -0.0992801
1.85818 1.06 -0.842966 -0.0665832 -0.102825
1.86675 1.06857 -0.84354 -0.0674797 -0.10637
1.87532 1.07714 -0.844123 -0.0684067 -0.109915
1.88389 1.08571 -0.844713 -0.069364 -0.113461
1.89247 1.09429 -0.845312 -0.0703517 -0.117006
1.90104 1.10286 -0.845919 -0.0713698 -0.120551
1.90961 1.11143 -0.846535 -0.0724183 -0.124096
1.91818 1.12 -0.847161 -0.0734972 -0.127641
1.92675 1.12857 -0.847795 -0.0746064 -0.131186
1.93532 1.13714 -0.84844 -0.0757461 -0.134731
1.94389 1.14571 -0.849094 -0.0769146 -0.137204
1.95247 1.15429 -0.849758 -0.078092 -0.137531
1.96104 1.16286 -0.850433 -0.0792723 -0.137858
