PBMA-051820115, 18.5.2015, 9:39
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.3895e+06	 5.0000e+01	 1.7085e+00	 2.3777e-02
 1.0000e+06	 5.0000e+01	 1.7141e+00	 2.8232e-02
 7.1969e+05	 5.0000e+01	 1.7161e+00	 3.2392e-02
 5.1795e+05	 5.0000e+01	 1.7223e+00	 3.5169e-02
 3.7276e+05	 5.0000e+01	 1.7292e+00	 3.8249e-02
 2.6827e+05	 5.0000e+01	 1.7367e+00	 4.1655e-02
 1.9307e+05	 5.0000e+01	 1.7449e+00	 4.5495e-02
 1.3895e+05	 5.0000e+01	 1.7538e+00	 4.9956e-02
 1.0000e+05	 5.0000e+01	 1.7635e+00	 5.5064e-02
 7.1969e+04	 5.0000e+01	 1.7744e+00	 6.0938e-02
 5.1795e+04	 5.0000e+01	 1.7864e+00	 6.7658e-02
 3.7276e+04	 5.0000e+01	 1.7997e+00	 7.5334e-02
 2.6827e+04	 5.0000e+01	 1.8148e+00	 8.3980e-02
 1.9307e+04	 5.0000e+01	 1.8318e+00	 9.3682e-02
 1.3895e+04	 5.0000e+01	 1.8508e+00	 1.0444e-01
 1.0000e+04	 5.0000e+01	 1.8722e+00	 1.1628e-01
 7.1969e+03	 5.0000e+01	 1.8966e+00	 1.2913e-01
 5.1795e+03	 5.0000e+01	 1.9239e+00	 1.4287e-01
 3.7276e+03	 5.0000e+01	 1.9543e+00	 1.5736e-01
 2.6827e+03	 5.0000e+01	 1.9885e+00	 1.7229e-01
 1.9307e+03	 5.0000e+01	 2.0270e+00	 1.8739e-01
 1.3895e+03	 5.0000e+01	 2.0683e+00	 2.0200e-01
 1.0000e+03	 5.0000e+01	 2.1140e+00	 2.1581e-01
 7.1969e+02	 5.0000e+01	 2.1633e+00	 2.2812e-01
 5.1795e+02	 5.0000e+01	 2.2156e+00	 2.3826e-01
 3.7276e+02	 5.0000e+01	 2.2705e+00	 2.4572e-01
 2.6827e+02	 5.0000e+01	 2.3274e+00	 2.5007e-01
 1.9307e+02	 5.0000e+01	 2.3850e+00	 2.5093e-01
 1.3895e+02	 5.0000e+01	 2.4424e+00	 2.4820e-01
 1.0000e+02	 5.0000e+01	 2.4987e+00	 2.4201e-01
 7.1969e+01	 5.0000e+01	 2.5526e+00	 2.3264e-01
 5.1795e+01	 5.0000e+01	 2.6036e+00	 2.2057e-01
 3.7276e+01	 5.0000e+01	 2.6507e+00	 2.0647e-01
 2.6827e+01	 5.0000e+01	 2.6938e+00	 1.9097e-01
 1.9307e+01	 5.0000e+01	 2.7321e+00	 1.7509e-01
 1.3895e+01	 5.0000e+01	 2.7661e+00	 1.5931e-01
 1.0000e+01	 5.0000e+01	 2.7952e+00	 1.4474e-01
 7.1969e+00	 5.0000e+01	 2.8205e+00	 1.3169e-01
 5.1795e+00	 5.0000e+01	 2.8417e+00	 1.2164e-01
 3.7276e+00	 5.0000e+01	 2.8594e+00	 1.1455e-01
 2.6827e+00	 5.0000e+01	 2.8739e+00	 1.1174e-01
 1.9307e+00	 5.0000e+01	 2.8859e+00	 1.1535e-01
 1.3895e+00	 5.0000e+01	 2.8958e+00	 1.2536e-01
 1.0000e+00	 5.0000e+01	 2.9039e+00	 1.4532e-01
 7.1969e-01	 5.0000e+01	 2.9106e+00	 1.7707e-01
 5.1795e-01	 5.0000e+01	 2.9165e+00	 2.2582e-01
 3.7276e-01	 5.0000e+01	 2.9217e+00	 2.9561e-01
 2.6827e-01	 5.0000e+01	 2.9275e+00	 3.9481e-01
 1.9307e-01	 5.0000e+01	 2.9338e+00	 5.3479e-01
 1.3895e-01	 5.0000e+01	 2.9432e+00	 7.3073e-01
 1.0000e-01	 5.0000e+01	 2.9579e+00	 9.9674e-01
 7.1969e-02	 5.0000e+01	 2.9771e+00	 1.3652e+00
 5.1795e-02	 5.0000e+01	 3.0061e+00	 1.8689e+00
 3.7276e-02	 5.0000e+01	 3.0486e+00	 2.5510e+00
 2.6827e-02	 5.0000e+01	 3.0995e+00	 3.5092e+00
 1.0000e+07	 4.5000e+01	 1.7241e+00	-6.3701e-02
 7.1969e+06	 4.5000e+01	 1.7208e+00	-6.4623e-03
 5.1795e+06	 4.5000e+01	 1.7089e+00	-7.4648e-04
 3.7276e+06	 4.5000e+01	 1.7079e+00	-7.9319e-05
 2.6827e+06	 4.5000e+01	 1.7041e+00	 7.4280e-03
 1.9307e+06	 4.5000e+01	 1.7057e+00	 1.2320e-02
 1.3895e+06	 4.5000e+01	 1.7079e+00	 1.9383e-02
 1.0000e+06	 4.5000e+01	 1.7127e+00	 2.3454e-02
 7.1969e+05	 4.5000e+01	 1.7138e+00	 2.7177e-02
 5.1795e+05	 4.5000e+01	 1.7190e+00	 2.9360e-02
 3.7276e+05	 4.5000e+01	 1.7248e+00	 3.1759e-02
 2.6827e+05	 4.5000e+01	 1.7310e+00	 3.4344e-02
 1.9307e+05	 4.5000e+01	 1.7378e+00	 3.7218e-02
